pc_time_s,seq_id,module_id,status,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
35.246746,8649,0xF0,0x00,0,1.75700009,2.43700004,0.70800000,0.05200000,1.39570475,0.98367912,0.80110127,0.00618793,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.246746,8650,0xF0,0x00,0,1.75800014,2.43200016,0.70900005,0.05200000,1.39566755,0.98371899,0.80109310,0.01198076,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.267084,8651,0xF0,0x00,0,1.76100004,2.43700004,0.71200001,0.04400000,1.39608681,0.98395550,0.80161625,0.00351392,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.267084,8652,0xF0,0x00,0,1.76300013,2.43900013,0.70800000,0.05100000,1.39593828,0.98406756,0.80178255,0.00351585,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.287476,8653,0xF0,0x00,0,1.75600004,2.43400002,0.71100003,0.05700000,1.39592254,0.98402703,0.80186778,0.01448944,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.287476,8654,0xF0,0x00,0,1.75600004,2.43200016,0.70700002,0.05300000,1.39642465,0.98418134,0.80149877,0.01551226,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.307937,8655,0xF0,0x00,0,1.75800014,2.43400002,0.71100003,0.05300000,1.39653635,0.98405522,0.80148572,0.01315787,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.307937,8656,0xF0,0x00,0,1.75600004,2.43900013,0.71100003,0.05100000,1.39618444,0.98429233,0.80217212,0.01190059,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.328519,8657,0xF0,0x00,0,1.75600004,2.44000006,0.70500004,0.05600000,1.39617860,0.98433495,0.80195314,0.01456782,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.328519,8658,0xF0,0x00,0,1.75300014,2.43600011,0.71300006,0.05100000,1.39586627,0.98436701,0.80242270,0.00800319,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.349203,8659,0xF0,0x00,0,1.75800014,2.43600011,0.71000004,0.05600000,1.39569759,0.98423648,0.80250710,0.00644855,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.349203,8660,0xF0,0x00,0,1.75500011,2.43800020,0.71300006,0.05200000,1.39550829,0.98445922,0.80353087,0.00010110,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.370124,8661,0xF0,0x00,0,1.75800014,2.43800020,0.71300006,0.05300000,1.39601934,0.98424739,0.80332303,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.370124,8662,0xF0,0x00,0,1.75800014,2.43700004,0.70200002,0.04800000,1.39643157,0.98428202,0.80222672,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.391311,8663,0xF0,0x00,0,1.76100004,2.43200016,0.71100003,0.05100000,1.39667082,0.98383838,0.80236787,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.391311,8664,0xF0,0x00,0,1.75800014,2.44000006,0.71200001,0.05300000,1.39635777,0.98388726,0.80207580,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.412591,8665,0xF0,0x00,0,1.75700009,2.44200015,0.71300006,0.05200000,1.39621162,0.98427397,0.80272496,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.412591,8666,0xF0,0x00,0,1.75900006,2.43800020,0.71500003,0.05400000,1.39593887,0.98423022,0.80179799,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.433156,8667,0xF0,0x00,0,1.75900006,2.43300009,0.71200001,0.05200000,1.39588547,0.98415452,0.80300856,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.433156,8668,0xF0,0x00,0,1.75800014,2.44100022,0.71300006,0.05200000,1.39601851,0.98417062,0.80335689,0.00217803,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.455062,8669,0xF0,0x00,0,1.76000011,2.43500018,0.71200001,0.05200000,1.39598966,0.98422295,0.80377728,0.00280321,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.455062,8670,0xF0,0x00,0,1.75500011,2.43500018,0.71200001,0.05100000,1.39535248,0.98420495,0.80340022,0.00404730,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
35.476018,8671,0xF0,0x00,0,1.75400007,2.43700004,0.71100003,0.05100000,1.39493394,0.98429173,0.80270046,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
