pc_time_s,seq_id,module_id,status,tx_drops,PF3 V,PF4 V,PF5 V,PF6 V,LT Load,LH Load,RT Load,RH Load,L Gait,R Gait,L Torque,R Torque,Cal Ready,Control Req,Assist On,H10 Assist
60.634852,9487,0xF0,0x00,0,1.19800007,2.46300006,0.38600001,0.05300000,1.50000000,1.05401862,0.65775073,0.00960134,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.634852,9488,0xF0,0x00,0,1.19800007,2.45800018,0.38500002,0.05100000,1.50000000,1.05396521,0.65776521,0.01266390,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.655909,9489,0xF0,0x00,0,1.19600010,2.45700002,0.38500002,0.05800000,1.50000000,1.05395639,0.65828925,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.655909,9490,0xF0,0x00,0,1.19300008,2.46000004,0.38800001,0.05600000,1.50000000,1.05386603,0.65917873,0.00687934,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.677875,9491,0xF0,0x00,0,1.19700003,2.46000004,0.38600001,0.04900000,1.50000000,1.05362523,0.65998232,0.01014084,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.677875,9492,0xF0,0x00,0,1.19600010,2.46300006,0.38800001,0.05200000,1.50000000,1.05364728,0.66032851,0.03387287,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.699265,9493,0xF0,0x00,0,1.19500005,2.45600009,0.38700002,0.05100000,1.50000000,1.05355740,0.66020030,0.04357748,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.699265,9494,0xF0,0x00,0,1.19600010,2.46100020,0.38700002,0.05600000,1.50000000,1.05385911,0.65998733,0.05103931,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.699265,9495,0xF0,0x00,0,1.19600010,2.46400023,0.38600001,0.05500000,1.50000000,1.05393314,0.66039151,0.04356220,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.719628,9496,0xF0,0x00,0,1.19600010,2.46200013,0.38800001,0.04900000,1.50000000,1.05408537,0.66081417,0.03535844,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
