time_s,pc_time_s,seq_id,module_id,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
0.000000,0.022220,64908,240,0,0.000000,1.006600,0.050395,0.050627,0.563816,0.050484,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.001000,0.022324,64909,240,0,0.000000,1.006560,0.050569,0.050678,0.563489,0.050518,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.002000,0.022350,64910,240,0,0.000000,1.006468,0.050544,0.050374,0.563459,0.050599,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.003000,0.022368,64911,240,0,0.000000,1.006381,0.050834,0.050315,0.563738,0.050522,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.004000,0.022390,64912,240,0,0.000000,1.006264,0.050744,0.050381,0.563625,0.050486,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.005000,0.022405,64913,240,0,0.000000,1.006260,0.050798,0.050259,0.563906,0.050234,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.006000,0.022421,64914,240,0,0.000000,1.006205,0.050625,0.050384,0.563822,0.050440,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.007000,0.022437,64915,240,0,0.000000,1.006178,0.050560,0.050141,0.563927,0.050421,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.008000,0.022452,64916,240,0,0.000000,1.006340,0.050702,0.050121,0.563471,0.050513,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.009000,0.022467,64917,240,0,0.000000,1.006494,0.050595,0.050150,0.563098,0.050603,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.010000,0.022480,64918,240,0,0.000000,1.006566,0.050692,0.050101,0.563698,0.050402,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.011000,0.022496,64919,240,0,0.000000,1.006630,0.050593,0.050257,0.563864,0.050361,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.012000,0.022511,64920,240,0,0.000000,1.006659,0.050708,0.050263,0.563571,0.050585,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.013000,0.022525,64921,240,0,0.000000,1.006648,0.050710,0.050208,0.563585,0.050753,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.014000,0.022538,64922,240,0,0.000000,1.006615,0.050567,0.050107,0.563173,0.050714,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.015000,0.022551,64923,240,0,0.000000,1.006651,0.050646,0.050073,0.563608,0.050510,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.016000,0.022565,64924,240,0,0.000000,1.006627,0.050769,0.050172,0.563529,0.050371,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.017000,0.022589,64925,240,0,0.000000,1.006557,0.050866,0.050247,0.563485,0.050334,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.018000,0.022603,64926,240,0,0.000000,1.006461,0.050670,0.050291,0.563338,0.050262,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.019000,0.022616,64927,240,0,0.000000,1.006422,0.050279,0.050232,0.563741,0.050489,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.020000,0.022630,64928,240,0,0.000000,1.006419,0.050094,0.050298,0.563450,0.050643,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.021000,0.022644,64929,240,0,0.000000,1.006455,0.050449,0.050414,0.563588,0.050717,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.022000,0.022657,64930,240,0,0.000000,1.006559,0.050900,0.050117,0.563789,0.050855,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.023000,0.022670,64931,240,0,0.000000,1.006636,0.050749,0.050206,0.563735,0.050556,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.024000,0.022683,64932,240,0,0.000000,1.006620,0.050537,0.050198,0.563724,0.050650,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.025000,0.022696,64933,240,0,0.000000,1.006608,0.050331,0.050037,0.563807,0.050606,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.026000,0.022710,64934,240,0,0.000000,1.006576,0.050386,0.050012,0.563491,0.050687,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.027000,0.022724,64935,240,0,0.000000,1.006524,0.050670,0.049911,0.563671,0.050619,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.028000,0.022737,64936,240,0,0.000000,1.006456,0.050972,0.050043,0.563626,0.050701,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.029000,0.022750,64937,240,0,0.000000,1.006395,0.050888,0.050079,0.563228,0.050382,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.030000,0.022763,64938,240,0,0.000000,1.006378,0.050352,0.050046,0.563464,0.050359,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
0.031000,0.022806,8909,240,0,0.000000,1.007050,0.050563,0.049994,0.563875,0.049928,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.032000,0.022820,8910,240,0,0.000000,1.007005,0.050596,0.049908,0.563925,0.049752,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.033000,0.054091,8911,240,0,0.000000,1.006913,0.050764,0.050196,0.564000,0.048850,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.034000,0.054159,8912,240,0,0.000000,1.006824,0.050649,0.050330,0.564283,0.049375,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.035000,0.054196,8913,240,0,0.000000,1.006714,0.050385,0.050006,0.564119,0.049615,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.036000,0.104223,8914,240,0,0.000000,1.006639,0.050837,0.050033,0.563942,0.049571,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.037000,0.104283,8915,240,0,0.000000,1.006548,0.051272,0.050093,0.564426,0.049922,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.038000,0.104301,8916,240,0,0.000000,1.006420,0.051325,0.050016,0.563956,0.049833,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.039000,0.133170,8917,240,0,0.000000,1.006302,0.050774,0.050264,0.564297,0.049945,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.040000,0.133261,8918,240,0,0.000000,1.006265,0.050635,0.050070,0.564077,0.050147,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.041000,0.133294,8919,240,0,0.000000,1.006300,0.050545,0.050131,0.564043,0.050351,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.042000,0.133322,8920,240,0,0.000000,1.006356,0.050596,0.050031,0.564589,0.049823,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.043000,0.133348,8921,240,0,0.000000,1.006446,0.050873,0.050136,0.564836,0.049871,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.044000,0.164942,8922,240,0,0.000000,1.006537,0.050770,0.049861,0.564188,0.050262,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.045000,0.165039,8923,240,0,0.000000,1.006632,0.050317,0.049694,0.564653,0.050150,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.046000,0.165070,8924,240,0,0.000000,1.006651,0.051015,0.049573,0.563942,0.050218,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.047000,0.196689,8925,240,0,0.000000,1.006656,0.050785,0.049792,0.563797,0.050331,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.048000,0.196771,8926,240,0,0.000000,1.006672,0.050899,0.049838,0.564195,0.050228,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.049000,0.196802,8927,240,0,0.000000,1.006721,0.051100,0.050143,0.564425,0.050434,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.050000,0.228433,8928,240,0,0.000000,1.006745,0.050624,0.050265,0.564373,0.050040,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.051000,0.228528,8929,240,0,0.000000,1.006813,0.050681,0.049932,0.564176,0.050563,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.052000,0.228560,8930,240,0,0.000000,1.006929,0.050762,0.049924,0.564370,0.050233,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.053000,0.228586,8931,240,0,0.000000,1.007044,0.050757,0.049771,0.564278,0.050143,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.054000,0.260492,8932,240,0,0.000000,1.007119,0.050673,0.050089,0.564478,0.050166,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.055000,0.260566,8933,240,0,0.000000,1.007112,0.050353,0.049687,0.564054,0.050183,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
0.056000,0.260587,8934,240,0,0.000000,1.007084,0.050631,0.049971,0.563759,0.050273,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
