pc_time_s,seq_id,module_id,status,tx_drops,EMG R env,EMG L env,EMG R act,EMG L act,FSR RH,FSR RT,FSR LH,FSR LT,Phase R,Phase L,Gait R,Gait L,Thigh R,Thigh L,Tau R,Tau L
0.0000,8666,240,0,0,0.001327,0.008933,0.000000,0.000000,1.500000,1.500000,1.249503,1.500000,0.033683,0.591753,1.000000,2.000000,5.932617,-17.402344,0.000000,0.000000
0.0100,8667,240,0,0,0.001386,0.008833,0.000000,0.000000,1.500000,1.500000,1.250071,1.500000,0.040417,0.594253,1.000000,2.000000,5.932617,-17.402344,0.000000,0.000000
0.0200,8668,240,0,0,0.001928,0.009082,0.000000,0.000000,1.500000,1.500000,1.249928,1.500000,0.047151,0.596752,1.000000,2.000000,5.932617,-17.402344,0.000000,0.000000
0.0300,8669,240,0,0,0.001835,0.009284,0.000000,0.000000,1.500000,1.500000,1.250330,1.500000,0.053885,0.599252,1.000000,2.000000,5.932617,-17.380371,0.000000,0.000000
0.0400,8670,240,0,0,0.001911,0.009816,0.000000,0.000000,1.500000,1.500000,1.251337,1.500000,0.060619,0.601752,1.000000,2.000000,5.932617,-17.380371,0.000000,0.000000
0.0500,8671,240,0,0,0.002163,0.010267,0.000000,0.000000,1.500000,1.500000,1.251447,1.500000,0.067353,0.604252,1.000000,2.000000,5.954590,-17.358398,0.000000,0.000000
0.0600,8672,240,0,0,0.001907,0.010249,0.000000,0.000000,1.500000,1.500000,1.250113,1.500000,0.074087,0.606752,1.000000,2.000000,5.976562,-17.336426,0.000000,0.000000
0.0700,8673,240,0,0,0.001885,0.009658,0.000000,0.000000,1.500000,1.500000,1.250498,1.500000,0.080821,0.609251,1.000000,2.000000,5.998535,-17.314453,0.000000,0.000000
0.0800,8674,240,0,0,0.001979,0.009950,0.000000,0.000000,1.500000,1.500000,1.250662,1.500000,0.087555,0.611751,1.000000,2.000000,6.020508,-17.292480,0.000000,0.000000
0.0900,8675,240,0,0,0.001810,0.010084,0.000000,0.000000,1.500000,1.500000,1.250349,1.500000,0.094289,0.614251,1.000000,2.000000,6.042480,-17.270508,0.000000,0.000000
0.1000,8676,240,0,0,0.001851,0.010068,0.000000,0.000000,1.500000,1.500000,1.251384,1.500000,0.101023,0.616751,1.000000,2.000000,6.086426,-17.226562,0.000000,0.000000
0.1100,8677,240,0,0,0.002053,0.010136,0.000000,0.000000,1.500000,1.500000,1.253947,1.500000,0.107757,0.619251,1.000000,2.000000,6.130371,-17.182617,0.000000,0.000000
0.1200,8678,240,0,0,0.002257,0.010248,0.000000,0.000000,1.500000,1.500000,1.255165,1.500000,0.114491,0.621751,1.000000,2.000000,6.174316,-17.138672,0.000000,0.000000
0.1300,8679,240,0,0,0.002024,0.010436,0.000000,0.000000,1.500000,1.500000,1.257808,1.500000,0.121225,0.624250,1.000000,2.000000,6.218262,-17.072754,0.000000,0.000000
0.1400,8680,240,0,0,0.001771,0.010417,0.000000,0.000000,1.500000,1.500000,1.260041,1.500000,0.127959,0.626750,1.000000,2.000000,6.284180,-17.006836,0.000000,0.000000
0.1500,8681,240,0,0,0.001960,0.010604,0.000000,0.000000,1.500000,1.500000,1.263604,1.500000,0.134693,0.629250,1.000000,2.000000,6.328125,-16.962891,0.000000,0.000000
0.1600,8682,240,0,0,0.001864,0.010250,0.000000,0.000000,1.500000,1.500000,1.267688,1.500000,0.141427,0.631750,1.000000,2.000000,6.416016,-16.875000,0.000000,0.000000
0.1700,8683,240,0,0,0.001570,0.010092,0.000000,0.000000,1.500000,1.500000,1.270111,1.500000,0.148161,0.634250,1.000000,2.000000,6.503906,-16.787109,0.000000,0.000000
0.1800,8684,240,0,0,0.001522,0.009893,0.000000,0.000000,1.500000,1.500000,1.272510,1.500000,0.154895,0.636749,1.000000,2.000000,6.569824,-16.721191,0.000000,0.000000
