pc_time_s,seq_id,module_id,status,tx_drops,EMG R env,EMG L env,EMG R act,EMG L act,FSR RH,FSR RT,FSR LH,FSR LT,Phase R,Phase L,Gait R,Gait L,Thigh R,Thigh L,Tau R,Tau L
0.0000,0,240,0,0,0.01103,0.01179,0.03015,0.03393,0.69931,0.70224,0.69287,0.69006,0.00000,0.00000,2.00000,2.00000,-4.55593,-5.10500,0.00000,0.00000
0.0100,1,240,0,0,0.01119,0.01145,0.03095,0.03225,0.70105,0.69994,0.69449,0.69343,0.00000,0.00000,2.00000,2.00000,-4.54664,-5.11159,0.00000,0.00000
0.0200,2,240,0,0,0.01040,0.01116,0.02701,0.03082,0.70058,0.70141,0.69309,0.69195,0.00000,0.00000,2.00000,2.00000,-4.55607,-5.11567,0.00000,0.00000
0.0300,3,240,0,0,0.01053,0.01089,0.02764,0.02946,0.69950,0.70140,0.69381,0.69444,0.00000,0.00000,2.00000,2.00000,-4.56116,-5.11639,0.00000,0.00000
0.0400,4,240,0,0,0.01032,0.01078,0.02660,0.02888,0.69766,0.70009,0.69375,0.69436,0.00000,0.00000,2.00000,2.00000,-4.57268,-5.10944,0.00000,0.00000
0.0500,5,240,0,0,0.01029,0.01055,0.02645,0.02774,0.69858,0.70014,0.69371,0.69745,0.00000,0.00000,2.00000,2.00000,-4.58571,-5.11230,0.00000,0.00000
0.0600,6,240,0,0,0.01028,0.01065,0.02638,0.02823,0.69760,0.70091,0.69317,0.69925,0.00000,0.00000,2.00000,2.00000,-4.59363,-5.10701,0.00000,0.00000
0.0700,7,240,0,0,0.01073,0.01076,0.02865,0.02879,0.69777,0.70167,0.69508,0.70205,0.00000,0.00000,2.00000,2.00000,-4.60739,-5.11056,0.00000,0.00000
0.0800,8,240,0,0,0.01075,0.01039,0.02873,0.02694,0.69995,0.69968,0.69574,0.69901,0.00000,0.00000,2.00000,2.00000,-4.61826,-5.12554,0.00000,0.00000
0.0900,9,240,0,0,0.01046,0.01034,0.02732,0.02668,0.69919,0.69857,0.69636,0.69775,0.00000,0.00000,2.00000,2.00000,-4.63139,-5.12329,0.00000,0.00000
0.1000,10,240,0,0,0.01056,0.01032,0.02778,0.02660,0.69864,0.69953,0.69621,0.69733,0.00000,0.00000,2.00000,2.00000,-4.66137,-5.13220,0.00000,0.00000
0.1100,11,240,0,0,0.01045,0.01030,0.02726,0.02650,0.69857,0.70022,0.69781,0.70014,0.00000,0.00000,2.00000,2.00000,-4.66092,-5.13248,0.00000,0.00000
0.1200,12,240,0,0,0.01080,0.01063,0.02902,0.02813,0.69710,0.69844,0.70083,0.69958,0.00000,0.00000,2.00000,2.00000,-4.67472,-5.12416,0.00000,0.00000
0.1300,13,240,0,0,0.01062,0.01048,0.02810,0.02740,0.69781,0.69936,0.70159,0.69951,0.00000,0.00000,2.00000,2.00000,-4.68543,-5.10508,0.00000,0.00000
0.1400,14,240,0,0,0.01079,0.01073,0.02895,0.02864,0.70126,0.70140,0.70338,0.70059,0.00000,0.00000,2.00000,2.00000,-4.67954,-5.09821,0.00000,0.00000
0.1500,15,240,0,0,0.01082,0.01088,0.02908,0.02942,0.70196,0.69966,0.70220,0.70222,0.00000,0.00000,2.00000,2.00000,-4.68184,-5.10253,0.00000,0.00000
0.1600,16,240,0,0,0.01073,0.01089,0.02863,0.02947,0.69789,0.70009,0.70199,0.70138,0.00000,0.00000,2.00000,2.00000,-4.68519,-5.09682,0.00000,0.00000
0.1700,17,240,0,0,0.01049,0.01086,0.02745,0.02929,0.69699,0.70075,0.70150,0.70253,0.00000,0.00000,2.00000,2.00000,-4.69845,-5.09026,0.00000,0.00000
0.1800,18,240,0,0,0.01002,0.01113,0.02510,0.03064,0.70003,0.70172,0.70001,0.70383,0.00000,0.00000,2.00000,2.00000,-4.71083,-5.08624,0.00000,0.00000
0.1900,19,240,0,0,0.01025,0.01115,0.02626,0.03077,0.69799,0.70278,0.69889,0.70021,0.00000,0.00000,2.00000,2.00000,-4.71918,-5.06758,0.00000,0.00000
0.2000,20,240,0,0,0.01025,0.01125,0.02623,0.03126,0.69593,0.70231,0.70036,0.69863,0.00000,0.00000,2.00000,2.00000,-4.72641,-5.05903,0.00000,0.00000
0.2100,21,240,0,0,0.01049,0.01082,0.02746,0.02908,0.69454,0.70091,0.69938,0.69931,0.00000,0.00000,2.00000,2.00000,-4.73074,-5.04863,0.00000,0.00000
0.2200,22,240,0,0,0.01068,0.01071,0.02838,0.02855,0.69589,0.70081,0.69836,0.69940,0.00000,0.00000,2.00000,2.00000,-4.73681,-5.03705,0.00000,0.00000
0.2300,23,240,0,0,0.01062,0.01036,0.02810,0.02678,0.69456,0.70052,0.69647,0.69720,0.00000,0.00000,2.00000,2.00000,-4.73529,-5.04308,0.00000,0.00000
0.2400,24,240,0,0,0.01067,0.01064,0.02836,0.02822,0.69559,0.70118,0.70129,0.69821,0.00000,0.00000,2.00000,2.00000,-4.75811,-5.04836,0.00000,0.00000
0.2500,25,240,0,0,0.01069,0.01091,0.02843,0.02953,0.69622,0.70032,0.69780,0.69786,0.00000,0.00000,2.00000,2.00000,-4.77548,-5.05386,0.00000,0.00000
0.2600,26,240,0,0,0.01047,0.01067,0.02733,0.02833,0.69802,0.69945,0.69645,0.70234,0.00000,0.00000,2.00000,2.00000,-4.77836,-5.06360,0.00000,0.00000
0.2700,27,240,0,0,0.01014,0.01094,0.02572,0.02968,0.69875,0.70067,0.69975,0.70077,0.00000,0.00000,2.00000,2.00000,-4.78219,-5.06970,0.00000,0.00000
