pc_time_s,seq_id,module_id,status,tx_drops,EMG R env,EMG L env,EMG R act,EMG L act,FSR RH,FSR RT,FSR LH,FSR LT,Phase R,Phase L,Gait R,Gait L,Thigh R,Thigh L,Tau R,Tau L
0.0000,20345,240,0,0,0.001751,0.009501,0.000000,0.000000,1.500000,1.490208,1.409054,1.500000,0.924760,0.965359,1.000000,2.000000,3.427734,-19.841309,0.000000,0.000000
0.0100,20346,240,0,0,0.001765,0.009125,0.000000,0.000000,1.500000,1.490295,1.407964,1.500000,0.927865,0.967858,1.000000,2.000000,3.427734,-19.841309,0.000000,0.000000
0.0200,20347,240,0,0,0.001612,0.009144,0.000000,0.000000,1.500000,1.490768,1.407483,1.500000,0.930971,0.970358,1.000000,2.000000,3.427734,-19.819336,0.000000,0.000000
0.0300,20348,240,0,0,0.001616,0.008995,0.000000,0.000000,1.500000,1.488194,1.406763,1.500000,0.934076,0.972858,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.0400,20349,240,0,0,0.001610,0.008546,0.000000,0.000000,1.500000,1.488204,1.407637,1.500000,0.937182,0.975358,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.0500,20350,240,0,0,0.001669,0.007839,0.000000,0.000000,1.500000,1.488193,1.406916,1.500000,0.940287,0.977858,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.0600,20351,240,0,0,0.001868,0.007394,0.000000,0.000000,1.500000,1.489880,1.407937,1.500000,0.943392,0.980358,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.0700,20352,240,0,0,0.001629,0.007504,0.000000,0.000000,1.500000,1.489243,1.407108,1.500000,0.946498,0.982857,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.0800,20353,240,0,0,0.001612,0.007873,0.000000,0.000000,1.500000,1.490057,1.407663,1.500000,0.949603,0.985357,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.0900,20354,240,0,0,0.001636,0.007733,0.000000,0.000000,1.500000,1.490957,1.408460,1.500000,0.952709,0.987857,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.1000,20355,240,0,0,0.001543,0.008300,0.000000,0.000000,1.500000,1.491112,1.408722,1.500000,0.955814,0.990357,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.1100,20356,240,0,0,0.001555,0.008770,0.000000,0.000000,1.500000,1.491553,1.409119,1.500000,0.958919,0.992857,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
0.1200,20357,240,0,0,0.001352,0.008594,0.000000,0.000000,1.500000,1.493130,1.408667,1.500000,0.962025,0.995357,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.1300,20358,240,0,0,0.001278,0.008511,0.000000,0.000000,1.500000,1.493995,1.409779,1.500000,0.965130,0.997856,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.1400,20359,240,0,0,0.001273,0.008526,0.000000,0.000000,1.500000,1.494188,1.409203,1.500000,0.968236,0.000356,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.1500,20360,240,0,0,0.001287,0.008548,0.000000,0.000000,1.500000,1.493152,1.408298,1.500000,0.971341,0.002856,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.1600,20361,240,0,0,0.001316,0.008683,0.000000,0.000000,1.500000,1.493050,1.409377,1.500000,0.974446,0.005356,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.1700,20362,240,0,0,0.001393,0.009111,0.000000,0.000000,1.500000,1.493274,1.410223,1.500000,0.977552,0.007856,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.1800,20363,240,0,0,0.001246,0.009589,0.000000,0.000000,1.500000,1.493227,1.411090,1.500000,0.980657,0.010356,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.1900,20364,240,0,0,0.001341,0.009138,0.000000,0.000000,1.500000,1.492711,1.410510,1.500000,0.983763,0.012856,1.000000,2.000000,3.471680,-19.819336,0.000000,0.000000
0.2000,20365,240,0,0,0.001453,0.009305,0.000000,0.000000,1.500000,1.494758,1.411084,1.500000,0.986868,0.015356,1.000000,2.000000,3.449707,-19.819336,0.000000,0.000000
