pc_time_s,seq_id,module_id,status,tx_drops,EMG R env,EMG L env,EMG R act,EMG L act,FSR RH,FSR RT,FSR LH,FSR LT,Phase R,Phase L,Gait R,Gait L,Thigh R,Thigh L,Tau R,Tau L
0.0000,0,240,0,0,0.00968,0.00984,0.02339,0.02420,0.69797,0.69907,0.69640,0.69865,0.00000,0.00000,2.00000,2.00000,-5.19456,-5.95691,0.00000,0.00000
0.0100,1,240,0,0,0.00990,0.00996,0.02448,0.02479,0.69955,0.69987,0.69835,0.69862,0.00000,0.00000,2.00000,2.00000,-5.18513,-5.94441,0.00000,0.00000
0.0200,2,240,0,0,0.01019,0.00985,0.02594,0.02423,0.70143,0.70120,0.69999,0.69908,0.00000,0.00000,2.00000,2.00000,-5.19339,-5.93222,0.00000,0.00000
0.0300,3,240,0,0,0.01037,0.00973,0.02684,0.02364,0.70047,0.70186,0.69873,0.69945,0.00000,0.00000,2.00000,2.00000,-5.20580,-5.92507,0.00000,0.00000
0.0400,4,240,0,0,0.01027,0.00990,0.02636,0.02451,0.69808,0.70079,0.69827,0.69987,0.00000,0.00000,2.00000,2.00000,-5.21346,-5.91286,0.00000,0.00000
0.0500,5,240,0,0,0.00964,0.00984,0.02319,0.02421,0.70003,0.70004,0.69509,0.69892,0.00000,0.00000,2.00000,2.00000,-5.22653,-5.88315,0.00000,0.00000
0.0600,6,240,0,0,0.00956,0.00983,0.02281,0.02417,0.69853,0.70020,0.69464,0.69830,0.00000,0.00000,2.00000,2.00000,-5.24135,-5.86027,0.00000,0.00000
0.0700,7,240,0,0,0.00950,0.00982,0.02250,0.02409,0.70004,0.70122,0.69489,0.69857,0.00000,0.00000,2.00000,2.00000,-5.24473,-5.83875,0.00000,0.00000
0.0800,8,240,0,0,0.00956,0.01009,0.02280,0.02546,0.69989,0.70172,0.69641,0.69889,0.00000,0.00000,2.00000,2.00000,-5.24131,-5.81819,0.00000,0.00000
0.0900,9,240,0,0,0.00967,0.01012,0.02334,0.02562,0.69796,0.70371,0.69584,0.69847,0.00000,0.00000,2.00000,2.00000,-5.24085,-5.80875,0.00000,0.00000
0.1000,10,240,0,0,0.00988,0.01016,0.02441,0.02581,0.69740,0.70487,0.69614,0.69942,0.00000,0.00000,2.00000,2.00000,-5.23940,-5.79472,0.00000,0.00000
0.1100,11,240,0,0,0.00997,0.01036,0.02485,0.02679,0.69815,0.70595,0.69518,0.69660,0.00000,0.00000,2.00000,2.00000,-5.23714,-5.78041,0.00000,0.00000
0.1200,12,240,0,0,0.01000,0.01034,0.02498,0.02669,0.69911,0.69959,0.69678,0.69633,0.00000,0.00000,2.00000,2.00000,-5.23630,-5.76445,0.00000,0.00000
